[4####]
9 8 0   145.0  145.0
 2312999.4180004.310E-048 2.967E-08.06620.076 7818.20300.740.000000                                                el  45      135550314210 9 8 0    91.0   91.0
 2112999.4180002.150E-052 2.724E-05.06080.06812611.98800.690.000000                                                el  61      135540314210 9 8 0   123.0  123.0
 2112999.4180004.060E-042 5.089E-09.06960.091 5804.78300.730.000000                                                el  26      136650314210 9 8 0    53.0   53.0
 2312999.4180001.630E-039 9.510E-09.06620.076 3520.84800.740.000000                                                el  45      135550314210 9 8 0    91.0   91.0
 2312999.4180008.530E-059 9.549E-05.06580.07414567.40800.730.000000                                                el  49      135550314210 9 8 0    99.0   99.0
 2312999.4180001.570E-044 3.932E-08.06470.071 6222.40400.720.000000                                                el  53      135540314210 9 8 0   107.0  107.0
 2412999.4180003.830E-054 4.050E-05.06270.07011877.90400.700.000000                                                el  57      135540314210 9 8 0   690.0  690.0
 2412999.4180003.820E-053 4.239E-05.06810.08611296.74600.750.000000                                                el  32      136650314210 9 8 0   390.0  390.0
 2412999.4180001.050E-049 2.500E-06.06170.069 9209.66600.700.000000                                                el  59      135540314210 9 8 0   714.0  714.0
 2412999.4180002.770E-069 9.844E-04.06500.07219687.77400.720.000000                                                el  52      135540314210 9 8 0   630.0  630.0
 2212999.4180004.020E-038 4.898E-10.07130.095 2462.37900.710.000000                                                el  21      136650314210 9 8 0    86.0   86.0
 2212999.4180002.000E-071 2.744E-04.06660.07921096.49800.750.000000                                                el  41      136550314210 9 8 0   166.0  166.0
 2212999.4180001.770E-062 5.766E-06.05690.06416209.94900.650.000000                                                el  84      134540314210 9 8 0   338.0  338.0
 2412999.4190005.200E-062 6.599E-05.05690.06415784.22900.650.000000                                                el  84      134540314210 9 8 0  1014.0 1014.0
 2212999.4190005.420E-046 1.953E-06.06560.073 8071.78600.730.000000                                                el  50      135550314210 9 8 0   202.0  202.0
 2212999.4190001.760E-063 8.040E-06.05950.06716700.79700.680.000000                                                el  65      135540314210 9 8 0   262.0  262.0
 2212999.4190006.260E-046 3.008E-07.06720.082 7596.11500.760.000000                                                el  37      136650314210 9 8 0   150.0  150.0
 2312999.4190006.800E-064 1.184E-04.05430.06017197.50000.670.000000                                                el 113      134440314210 9 8 0   227.0  227.0
 2112999.4190006.510E-061 9.084E-05.05620.06316979.17300.650.000000                                                el  92      134440314210 9 8 0   185.0  185.0
 2112999.4190001.020E-042 1.732E-09.05760.064 6090.67300.650.000000                                                el  78      135540314210 9 8 0   157.0  157.0
 2212999.4190004.940E-062 3.976E-06.05340.05916002.02800.680.000000                                                el 124      134440314210 9 8 0   498.0  498.0
 2212999.4190004.930E-071 1.147E-04.06080.06820812.41200.690.000000                                                el  61      135540314210 9 8 0   246.0  246.0
 2312999.4190003.980E-049 5.157E-05.06750.083 9792.08700.760.000000                                                el  35      136650314210 9 8 0    71.0   71.0
 2412999.4200002.150E-074 3.784E-02.06420.07122866.84600.710.000000                                                el  54      135540314210 9 8 0   654.0  654.0
 2212999.4200003.420E-073 1.738E-04.06420.07121895.61800.710.000000                                                el  54      135540314210 9 8 0   218.0  218.0
 2212999.4200002.180E-072 8.877E-05.05950.06721414.17000.680.000000                                                el  65      135540314210 9 8 0   262.0  262.0
 2112999.4200001.110E-071 2.612E-04.06380.07022192.31500.710.000000                                                el  55      135540314210 9 8 0   111.0  111.0
 2412999.4200009.120E-073 2.118E-02.06650.07821925.28400.750.000000                                                el  42      136550314210 9 8 0   510.0  510.0
